//Vanilla
Invert X|Spiegel X
Closure|Afsluiting
REGIONS|GEBIEDEN
OPTIONS|OPTIES
The Leg|Het Been
CREDITS|CREDITS
ENGLISH|ENGELS
ITALIAN|ITALIAANS
SPANISH|SPAANS
RUSSIAN|RUSSISCH
CHINESE|CHINEES
GAMEPAD|GAMEPAD
Hold R1|Houd R1 ingedrukt
Options|Opties
Hold RB|Houd RB ingedrukt
minutes|minuten
No rain|Geen regen
Survive|Overleven
Winner!|Winnaar!
RESTART|HERSTARTEN
PASSAGE|DOORGANG
Quits :|Keer gestopt :
Ranking|Rang
Profile|Profiel
In Game|In Spel
In Menu|In Menu
Version|Versie
General|Algemeen
Presets|Presets
CLASSIC|KLASSIEK
RELAXED|RELAXED
Assists|Hulp
Failure|Gefaald
...you.|...jij.
Please!|Alsjeblieft!
An Old Friend|Een Oude Vriend
Memory Crypts|Herinneringscryptes
The Chieftain|Het Opperhoofd
Music volume:|Muziek volume:
Sound Effects|Geluidseffecten
Pick up / Eat|Oppakken / Eten
INPUT PRESETS|INPUT PRESETS
Next gametype|Volgende speltype
ROUND SESSION|RONDE SESSIE
Approximately|Ongeveer
Press to join|Druk om mee te doen
Repeat Rooms:|Herhaal Kamers:
High wildlife|Hoog aantal wild
for surviving|voor het overleven
per spear hit|per speertreffer
Configuration|Configuratie
HOLD TO START|HOUD INGEDRUKT OM TE STARTEN
REGION SELECT|GEBIED SELECTEREN
Fetching Data|Data Ophalen
PREVIOUS PAGE|VORIGE PAGINA
Previous Page|Vorige Pagina
Accessibility|Toegankelijkheid
Hunter Cycles|Jager Cyclussen
Wall pouncing|Muur krachtsprongen
devtools-name|Dev Tools
Thank... you.|Dank... je wel.
What is that?|Wat is dat?
Another gift?|Nog een geschenk?
...thank you.|...dank je.
And...listen!|En...luister!
Little friend|Kleine vriend
archaeologist|archeoloog
The Martyr|De Lijder
The Mother|De Moeder
Rain World|Rain World
STATISTICS|STATISTIEKEN
THE HUNTER|DE JAGER
The Hunter|De Jager
The Outlaw|De Vogelvrije
The Friend|De Vriend
Pilgrimage|Pelgrimstocht
FULLSCREEN|VOLLEDIG SCHERM
SAVE FILES|OPGESLAGEN BESTANDEN
PORTUGUESE|PORTUGEES
TEST INPUT|INPUT TESTEN
Left Stick|Linker Stick
Hold Space|Houd Spatie ingedrukt
Map Button|Kaart Knop
Free food!|Gratis eten!
Loading...|Laden...
CROSS-SAVE|CROSS-OPSLAG
Load Order|Laad Volgorde
Oh, hello!|Oh, hallo!
Oh, hello.|Oh, hallo.
You again.|Jij alweer.
...rain...|...regen...
...stop...|...stop...
Thank you.|Dank je wel.
A final charitable act|Een laatste liefdadigheid
Path of self-sacrifice|Pad van zelfopoffering
objecttype-VultureMask|Gierenmasker
objecttype-DangleFruit|Blauwe Vrucht
objecttype-KarmaFlower|Karmabloem
objecttype-BubbleGrass|Bubbelwier
creaturetype-RedLizard|Rode Hagedis
creaturetype-PoleMimic|Paal Plant
creaturetype-MirosBird|Mirosvogel
creaturetype-Centipede|Duizendpoot
creaturetype-Centiwing|Zwevendpoot
creaturetype-Scavenger|Schooier
creaturetype-BigSpider|Wolfspin
Stronger climbing grip|Sterkere klim grip
Path of the vegetarian|Pad van de vegetariër
The Scholar-linebreaks|De Leergierige
The Journey-linebreaks|De Reis
switch_tutorial_crouch|Houd OMLAAG kort ingedrukt om te bukken
Tap to pick up objects|Druk om voorwerpen op te pakken
Test your new controls|Test je nieuwe controls
switch_controls_pickup|Y Knop
switch_region_map_help|Druk op de R Knop om de regionale kaart te bekijken
Sandbox item unlocked:|Sandbox voorwerp ontgrendeld:
ps4_save_options_title|Rain World Opties
mod_menu_load_order_up|Wanneer je mod veranderingen samenvoegt, breng deze mod later aan dan de anderen. Dit kan helpen met het oplossen van bepaalde mod conflicten.
OpSlider_MouseTutoHrzt|Houd de muisknop ingedrukt en sleep naar links of rechts om de waarde aan te passen
OpSlider_MouseTutoVrtc|Houd de muisknop ingedrukt en sleep omhoog of omlaag om de waarde aan te passen
OpTextBox_NonMouseTuto|Dit element kan niet aangepast worden met een controller
OpHoldButton_MouseTuto|Houd de muisknop ingedrukt om te activeren
ModdingMenu_ControlMap|Bekijk de controls
MenuModStat_ModsRegion|Ingeschakelde
gebiedsmods: <Number>
MenuModList_SwapFailed|Kan een benodigde mod niet laden voor de afhankelijke mod
OIError_Message_Update|Er was een probleem bij het lopen van OptionInterface.
New dynamic difficulty|Nieuwe dynamische moeilijkheid
Legacy tongue controls|Oude tong controls
Upwards spear throwing|Extra gooi traject
Quieter gates/shelters|Zachtere poorten/schuilplaatsen
Faster shelter opening|Sneller schuilplaatsen openen
Pull spears from walls|Trek speren uit muren
Unlock all collections|Ontgrendel alle collecties
expedition-description|Zet uit op een Expeditie in deze uitdagende nieuwe spelmodus. Compleet willekeurige uitdagingen terwijl je perma dood vermijdt en werkt aan het ontgrendelen van nieuwe handige voordelen, straffende lasten, en muziek om naar te luisteren in de Jukebox.
Please leave me alone.|Laat me alsjeblieft alleen.
That... Oh, thank you.|Dat... Oh, dank je.
...don't... come back.|...kom... niet terug.
Oh... You are leaving.|Oh... Je gaat.
Good bye, I suppose...|Vaarwel, neem ik aan...
You have found another way out|Je hebt een andere weg uit gevonden
Complete the Chieftain passage|Compleet de Opperhoofd doorgang
Complete the game as The Saint|Voltooi het spel als De Heilige
This land has become your home|Dit land is jouw thuis geworden
switch_pause_help_switch_hands|Druk twee keer om van handen te wisselen
Playing levels in random order|Levels in willekeurige volgorde spelen
OpKeyBinder_NonMouseSelectTuto|Druk op Springen om de knop binding te veranderen
ConfigMenuTab_ApplyButton_Desc|Breng de huidige geselecteerde mods aan
ConfigMenuTab_BackButton_Label|VERLATEN
ConfigMenuTab_SaveButton_Label|AANBRENGEN
ConfigMenuTab_ResetButton_Desc|Reset de huidige mod's configuraties
No Hunter batfly auto-grabbing|De Jager auto-grijpt geen vleervliegen
Disable all karma requirements|Schakel alle karma benodigdheden uit
Saint environmental protection|Heilige weersbescherming
mod_workshop_upload_buttondesc|Upload de geselecteerde mod naar de Steam Workshop
It's you, <PlayerName>. Hello.|Jij bent het, <PlayerName>. Hallo.
NO! ... no. Let it go, please.|NEE! ... nee. Laat het los, alsjeblieft.
You... brought that... for me?|Je... bracht dat... voor mij?
And now you're taking it back.|En nu neem je het terug.
Please. Be still for a moment.|Alsjeblieft. Wees even stil.
<CapPlayerName>... Never mind.|<CapPlayerName>... Laat maar zitten.
You return from scouting a new land|Je komt terug van het scouten van een nieuw land
Four Needles under Plentiful Leaves|Vier Naalden onder Overvloedige Bladen
However, the game will not be saved|Maar het spel wordt niet opgeslagen
PS4 Dualshock<LINE>Controller Setup|DUALSHOCK®4<LINE>Controller Setup
Hold Pause Button or Escape to exit|Houd de Pauze Knop of Escape ingedrukt om te verlaten
switch_controls_singlejoyconl_pause|- Knop
switch_controls_singlejoyconl_throw|Rechter Knop
switch_controls_singlejoyconr_pause|+ Knop
switch_controls_singlejoyconr_throw|X Knop
Press to add Player <X> to the game|Druk om Speler <X> toe te voegen aan het spel
ps4_save_progress_failed_free_space|Fout bij het opslaan van voortgangs data. Niet genoeg vrije ruimte. Opnieuw proberen?
USE UP + DOWN TO ADJUST SCREEN SIZE|GEBRUIK OMHOOG + OMLAAG OM DE SCHERMGROOTTE AAN TE PASSEN
ConfigMenuTab_RevertHoldButton_Desc|Gooi huidige veranderingen aan de mod's configuraties weg en ga terug
MenuModList_ModButton_NameAndAuthor|<ModName> door <ModAuthor>
MenuModList_ModButton_Disable_Mouse|Schakel <Mod> uit
Could not find the files to upload.|Kon de bestanden niet vinden om te uploaden.
Get... get away... white.... thing.|Ga... ga weg... wit.... ding.
Thank you, again. I feel wonderful.|Nog eens bedankt. Ik voel me geweldig.
You want me to take a look at that?|Je wilt dat ik hier naar kijk?
Ah, you would like me to read this?|Ah, je wilt dat ik dit lees?
This... time... don't... come back.|Kom... deze... keer... niet terug.
The consequences of your journey have caught up with you|De consequenties van jouw reis hebben je ingehaald
You encountered the echo of A Bell, Eighteen Amber Beads|Je ontmoette de echo van Een Bel, Achttien Amber Kralen
You encountered the echo of Two Sprouts, Twelve Brackets|Je ontmoette de echo van Twee Scheuten, Twaalf Steunen
Press and hold, then use up/down to adjust score awarded|Druk en ingedrukt houden, gebruik dan Omhoog/Omlaag om de toegekende score aan te passen
You must update the application to use network features.|Je moet deze applicatie updaten om netwerkfuncties te gebruiken.
The presets below can be used to quickly reset settings.|De opties beneden kunnen gebruikt worden om snel alle instellingen te resetten naar preset values.
RELAXED preset is a significant reduction in difficulty.|De RELAXED preset verlaagt de moeilijkheid aanzienlijk.
This option may actually make Rivulet's campaign harder.|Deze optie kan De Waterrat's campagne moeilijker maken.
The scavengers must be jealous of you, finding all these|De schooiers zullen wel jaloers zijn op jou, met hoeveel je er vindt
Fates have been flipped|Lotsbestemmingen zijn gewisseld
creaturetype-PinkLizard|Roze Hagedis
creaturetype-BlueLizard|Blauwe Hagedis
creaturetype-Salamander|Salamander
creaturetype-CyanLizard|Cyaan Hagedis
Embraced by a new tribe|Omarmd door een nieuwe stam
The Survivor-linebreaks|De Overlever
The Wanderer-linebreaks|De Dwaler
Gamepad <X> (Not found)|Gamepad <X> (Niet Gevonden)
No rain timer exception|Geen regen timer uitzondering
Sandbox items unlocked:|Sandbox voorwerpen ontgrendeld:
ps4_save_progress_title|Rain World Voortgang {0}
ps4_save_options_failed|Fout opgetreden bij het opslaan van opties gegevens.
ps4_load_options_failed|Opgeslagen Opties gegevens zijn beschadigd en worden verwijderd.
Failed to get rankings.|Gefaald om de rangen te krijgen.
Switch to windowed mode|Wissel naar venster modus
OpCheckBox_NonMouseTuto|Druk op BEVESTIGEN om te schakelen
OpComboBox_MouseUseTuto|Dubbelklik de box om te zoeken
OpRadioButton_MouseTuto|Klik om deze optie te kiezen
OpTextBox_MouseTutoGrab|Klik om te beginnen met typen
OpTextBox_MouseTutoType|Gebruik het toetsenbord om te typen, druk op Enter om aan te brengen
ModdingMenu_ControlJump|Kiezen / Bevestigen
ModdingMenu_ControlMove|Bewegen / Aanpassen
ModdingMenu_ControlPckp|Klembord
MenuModList_AskModApply|Druk eerst op MODS AANBRENGEN voordat je mods configureert
Jetfish item protection|Straalvis voorwerp bescherming
Currently Active Preset|Huidige Actieve Preset
mod_workshop_upload_ask|Wil je deze mod uploaden naar de Steam Workshop?
Hello there! You again!|Hallo daar! Jij alweer!
Hello there. You again!|Hallo daar. Jij alweer!
No, please, release it!|Nee, alsjeblieft, laat het los!
That... That is for me?|Dat... Dat is voor mij?
...oh... to... save me?|...oh... om... me te redden?
Thank you so very much!|Dank je zeer!
Thank you... Sincerely.|Zeer hartelijk bedankt...
Let's see... A pearl...|Laat eens zien... Een parel...
Why are you doing this?|Waarom doe je dit?
Please don't come back.|Kom alsjeblieft niet terug.
You have delivered your most important message|Je hebt je meest belangrijke boodschap geleverd
You completed every challenge laid before you.|Je complete elke uitdaging die voor je lag.
Clear every milestone quest in Expedition Mode|Compleet elke mijlsteen streeftocht in de Expeditie Modus
You are not the only lost soul in this world..|Je bent niet de enige verloren ziel in deze wereld..
Additional food (above four) is kept for later|Aanvullend voedsel (boven vier) wordt bewaard voor later
Grab your prey and hold the eat button to feed|Grijp je prooi en houd de eten knop ingedrukt om te voeden
MenuModList_ModButton_Disable_NonMouse_Console|Druk op BEVESTIGEN om deze inhoud uit te schakelen, druk op RECHTS om terug naar de lijst te gaan
MenuModList_ModButton_NonMouse_Display_Console|Druk op BEVESTIGEN om te laten zien, druk op LINKS om de schakelknop voor deze inhoud te bewegen
ConfigTabController_TabSelectButton_UnnamedTab|Wissel naar tab #<TabIndex>
Not that it solves anyone's problem but yours.|Niet dat het iemands probleem oplost behalve die van jou.
As I mentioned you do not have unlimited time.|Zoals gezegd heb je geen ongelimiteerde tijd.
Another? You're no better than the scavengers!|Nog een? Je bent niets beter dan de schooiers!
I won't talk to you if you continue like this.|Ik zal niet met je praten als je zo doorgaat.
Everything comes full circle|De cirkel is weer rond
Great strides have been made|Grote vorderingen zijn gemaakt
Complete the Scholar passage|Compleet de Leergierige doorgang
Complete the Pilgrim passage|Compleet de Pelgrim doorgang
creaturetype-BrotherLongLegs|Broeder Hooiwagen
creaturetype-SmallNeedleWorm|Noedelvliegnimf
Press any button to continue|Druk op iedere knop om verder te gaan
A Bell, Eighteen Amber Beads|Een Bel, Achttien Amber Kralen
Two Sprouts, Twelve Brackets|Twee Scheuten, Twaalf Steunen
The Dragon Slayer-linebreaks|De Draken-<LINE>doder
Three is enough to hibernate|Drie is genoeg om te slapen
Rain is coming! Find shelter|De regen komt eraan! Vind een schuilplaats
Score required to exit level|Score benodigd om het level te verlaten
Always allow players to exit|Sta spelers toe altijd het level te verlaten
ps4_save_options_description|Rain World Opties Save Data
Reloading player progression|Speler voortgang herladen
OpKeyBinder_NonMouseBindTuto|Druk op een knop om het te binden (PAUZE om te ontbinden)
MenuModStat_ModTargetVersion|Target spel versie: <TargetVersion> (Huidige spel versie: <GameVersion>)
Artificer Explosion Capacity|De Schepper's Explosie Capaciteit
Unlock all sandbox creatures|Ontgrendel alle sandbox wezens
Perhaps... I saw you before?|Misschien... heb ik je al gezien?
Oh... Should I look at that?|Oh... Zal ik erna kijken?
A gift for me, <PlayerName>?|Een geschenk voor mij, <PlayerName>?
Oh... Never mind, I suppose.|Oh... Laat maar zitten.
I will...not speak to you...|Ik zal...niet met je spreken...
You completed every expedition laid before you.|Je complete elke expeditie die voor je lag.
Something lurks in a flourishing outcropping...|Er hangt iets rond in een bloeiende aardlaag...
Additional food (above three) is kept for later|Aanvullend voedsel (boven drie) wordt bewaard voor later
Hold down to wipe your save slot and start over|Ingedrukt houden om je opslag slot te wissen en overnieuw te beginnen
You are starving. Your game has not been saved.|Je bent aan het verhongeren. Je spel is niet opgeslagen.
Are you sure you want to disable this mechanic?|Weet je zeker dat je dit mechaniek wilt uitschakelen?
You must accept the End User License Agreement.|Je moet de End User License Overeenkomst accepteren.
You're leaving yet again. This time, stay away.|Je vertrekt alweer. Deze keer, blijf weg.
Listened to the conflation of echoes|Luisterde naar de vermenging van echoes
Nineteen Spades, Endless Reflections|Negentien Schoppen, Eindeloze Reflecties
Game Over - Press OPTIONS to restart|Game Over - Druk op OPTIES om te herstarten
switch_controls_singlejoyconl_pickup|Linker Knop
switch_controls_singlejoyconr_pickup|B Knop
Creatures are vicious and aggressive|Wezens zijn woest en agressief
switch_single_joycon_region_map_help|Druk op de SR Knop om de regionale kaart te bekijken
JUMP/THROW buttons - Switch layers_1|SPRINGEN/GOOIEN knoppen - Wissel van lagen
JUMP/THROW buttons - Switch layers_2|Kruis Knop/Cirkel Knop - Wissel van lagen
JUMP/THROW buttons - Switch layers_3|B Knop/A Knop - Wissel van lagen
JUMP/THROW buttons - Switch layers_4|Omlaag Knop/Rechter Knop - Wissel van lagen
JUMP/THROW buttons - Switch layers_5|A Knop/X Knop - Wissel van lagen
Title is offline or is disconnected.|Titel is offline of is niet verbonden.
OpKeyBinder_NonMouseJoystickBindTuto|Druk op een knop om het vast te binden (PAUZEER om te ontbinden, START om controller nummer in te stellen)
ConfigContainer_AlertCopyNoncosmetic|Kopieerde <Text> van <ObjectName> naar klembord
ConfigMenuTab_RevertHoldButton_Label|TERUGZETTEN
MenuModList_ModButton_RainWorldDummy|Representeert het Rain World basis spel, dat geladen wordt voor alle mods erboven
Are you sure you want to view these?|Weet je zeker dat je deze wilt bekijken?
Yes, you're welcome to have it back.|Ja, je bent vrij om het terug te nemen.
Oh, leaving. Please don't come back.|Oh, je gaat. Kom alsjeblieft niet terug.
Followed your parental instincts|Je volgde jouw ouderlijke instincten
Player <X> will use the keyboard|Speler <X> gebruikt het toetsenbord
switch_controls_singlejoycon_map|SR Knop
Playing levels in selected order|Speel levels in geselecteerde volgorde
OpKeyBinder_ErrorConflictVanilla|Conflicterende knop met vanilla control opties
OpKeyBinder_ErrorConflictCurrMod|[<ConflictButton>] knop is al in gebruik
OpColorPicker_NonMouseModeSelect|Druk op CONFIRM om de modus te selecteren
ConfigMenuTab_RevertButton_Label|TERUG
Scavenger corpses have max karma|Schooier karkassen hebben maximaal karma
Unlock Developer Commentary mode|Ontgrendel de Ontwikkelaars' Commentaar modus
Please... thiss all I have left.|Alsjeblieft... dit is het enige wat ik nog heb.
Ah... <PlayerName>, you're back!|Ah... <PlayerName>, je bent terug!
Ah... <PlayerName>, you're back.|Ah... <PlayerName>, je bent terug.
NO! I will...not speak to you...|NEE! Ik zal...niet met jou spreken...
A new gift for me, <PlayerName>?|Een nieuw geschenk voor mij, <PlayerName>?
<CapPlayerName>, this one again?|<CapPlayerName>, deze alweer?
Yes, take it and leave me alone.|Ja, neem het en laat me alleen.
I think the rain is approaching.|Ik denk dat de regen eraan komt.
...leaving now? Don't... return.|...ga je weg? Kom... niet terug.
Complete the Survivor passage|Compleet de Overlever doorgang
Complete the Wanderer passage|Compleet de Dwaler doorgang
Five Pebbles (Memory Conflux)|Vijf Kiezels(Geheugen Conflux)
Hold to eat / swallow objects|Houd ingedrukt om te eten / voorwerpen door te slikken
Configure controls for player|Controls configureren voor speler
Standard items spawn on level|Standaard voorwerpen verschijnen in het level
ps4_save_progress_description|Rain World Voortgang {0} Save Data
